label,message
ham,Hey there how are you doing today?
spam,Congratulations you have won a 1000 dollar Walmart gift card click here to claim
ham,Are we still meeting for dinner tonight?
spam,URGENT your account has been compromised verify immediately
ham,Ill call you once I reach home
spam,Get cheap loans with low interest now apply instantly
ham,Can you send me the assignment notes please?
spam,You have been selected for a free vacation call now to claim
ham,Lets catch up tomorrow after class
spam,Win a brand new iPhone just by answering three questions
ham,Happy birthday hope you have a great day
spam,This is your last chance to claim your free reward act now
ham,Don't forget to bring your notebook tomorrow
spam,You have been chosen to receive a complimentary credit score check
ham,Thanks for your help earlier
spam,Free entry in a weekly competition to win tickets to Bahamas
ham,Can we reschedule our meeting for 4 pm?
spam,You are pre approved for a credit card apply now
ham,Good night see you tomorrow
spam,Exclusive deal seventy percent off on all items limited time only
ham,Where are you right now?
spam,Claim your free movie tickets reply YES now
ham,I will finish the work by tonight
spam,Your mobile number has been awarded a cash prize
ham,Meet me at the library in ten minutes
spam,You have been selected for a cash back reward offer
ham,I reached safely talk later
spam,Limited time offer buy one get one free
ham,Please send me the file when you are free
spam,Your loan request has been approved contact us immediately
ham,Let me know when you arrive
spam,Activate your free membership now
ham,Do you want to join us for lunch?
spam,Winner you have been selected for a lucky draw
ham,I will get back to you after the meeting
spam,Click the link to secure your free gift
ham,Everything is fine just checking in
spam,Your ATM card will be blocked verify now
ham,Just woke up what are the plans for today?
spam,Important update your account needs verification
ham,Okay see you soon
spam,You are selected for an exclusive offer valid only today
ham,I will call you in ten minutes
spam,Your email has won a cash prize worth 5000 dollars
ham,Send me your location
spam,Your subscription has expired renew now to continue
ham,Thank you for the update
spam,Claim your discount voucher before midnight
ham,Talk to you later
spam,You have been chosen for a free shopping voucher
ham,Meeting postponed to tomorrow morning
spam,Your number has been shortlisted for a lottery prize
ham,Please check your messages
spam,Earn money from home no investment required start now
ham,What time are you coming?
spam,You have won free recharge reply CLAIM
ham,Let's study together today
spam,Your account login detected from a different device verify now
ham,Can I call you later?
spam,You are selected for a holiday package at zero cost
ham,I will reach in five minutes
spam,Congratulations you are selected for an exclusive VIP offer
ham,Don't forget to submit the assignment
spam,Free trial activated cancel anytime
ham,I have emailed you the files
spam,Your phone has been selected for an upgrade offer
ham,Did you complete the project?
spam,Get your free health checkup voucher now
ham,See you soon take care
spam,Congratulations your number won a lucky prize
ham,Call me when you are done
spam,Verify your identity to avoid deactivation
ham,I will be late today
spam,Special discount available only for you grab now
ham,Send me the details please
spam,Your reward is waiting click to collect
ham,Can we talk later?
spam,Your account will be suspended in 24 hours verify immediately
ham,Thank you for calling me back
spam,Click here to unlock your free bonus credits
ham,Let's meet at the cafe
spam,Exclusive offer for you limited stock available
ham,Okay I will check it out
spam,You have an unread important message tap to open
